name,dev_cost_per_month,time_to_market,roas,icon
Alfa,2.25,3,2.8,👾
Bravo,4.0,6,4.2,🚀
Charlie,1.5,2,1.8,⭐
Delta,6.0,8,5.5,🎯
Echo,2.75,4,3.1,👻
Foxtrot,3.0,5,2.4,⚡
Golf,4.5,7,4.8,🏆
Hotel,1.75,3,2.2,🏰
India,3.75,6,3.9,💎
Juliett,2.0,4,2.6,❤️
Kilo,5.0,9,5.2,🎮
Lima,1.25,2,1.5,🍒
Mike,5.5,8,4.9,sprites/mike.png
November,2.5,5,3.3,🌙
Oscar,3.25,6,3.7,🎵
Papa,4.25,7,4.5,👑
Quebec,1.9,3,2.1,❓
Romeo,3.5,5,3.8,🌹
Sierra,2.1,4,2.9,⛰️
Tango,4.75,8,5.0,💃
Uniform,2.9,5,3.4,🎖️
Victor,5.25,9,5.6,✌️
Whiskey,3.4,6,4.0,🍺
Xray,2.4,4,3.0,☢️
